Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 162v,KB-E_326,#326,(leer),161,,
fol. 163r,KB-E_327,#327,(leer),162,Clxiii,
fol. 163v,KB-E_328,#328,(leer),162,,
fol. 164r,KB-E_329,#329,(leer),163,Clxiiii,
fol. 164v,KB-E_330,#330,(leer),163,,
fol. 165r,KB-E_331,#331,KB-E 331-x,164,Clxv,
fol. 165v,KB-E_332,#332,KB-E 332-x,164,,
fol. 166r,KB-E_333,#333,KB-E 333-x,165,Clxvi,
fol. 166v,KB-E_334,#334,KB-E 334-x,165,,
fol. 167r,KB-E_335,#335,KB-E 335-x,166,Clxvii,
fol. 167v,KB-E_336,#336,KB-E 336-x,166,,
fol. 168r,KB-E_337,#337,KB-E 337-x,167,Clxviii,
fol. 168v,KB-E_338,#338,KB-E 338-x,167,,
fol. 169r,KB-E_339,#339,KB-E 339-x,168,Clxviiii,
fol. 169v,KB-E_340,#340,KB-E 340-x,168,,
